Unnamed: 0,origin,destination,train_type,price,train_class,fare
7485,BARCELONA,MADRID,AVE,66.75,Turista,Promo
7486,BARCELONA,MADRID,AVE,75.4,Turista,Promo
7487,BARCELONA,MADRID,AVE,69.8,Turista Plus,Promo
7489,BARCELONA,MADRID,AVE,58.15,Turista,Promo
7490,BARCELONA,MADRID,AVE,66.75,Turista,Promo
7491,BARCELONA,MADRID,AVE,49.55,Turista,Promo
7493,BARCELONA,MADRID,AVE,66.75,Turista,Promo
7494,BARCELONA,MADRID,AVE,85.1,Turista,Promo
7495,BARCELONA,MADRID,AVE,85.1,Turista,Promo
7497,BARCELONA,MADRID,AVE,85.1,Turista,Promo
7498,BARCELONA,MADRID,AVE,107.7,Turista,Flexible
7499,BARCELONA,MADRID,AVE,107.7,Turista,Flexible
7501,BARCELONA,MADRID,AVE,102.15,Turista Plus,Promo
7502,BARCELONA,MADRID,AVE,90.5,Turista Plus,Promo
7503,BARCELONA,MADRID,AVE,90.5,Turista Plus,Promo
7505,BARCELONA,MADRID,AVE,100.4,Turista,Promo
7506,BARCELONA,MADRID,AVE,107.7,Turista,Flexible
7507,BARCELONA,MADRID,AVE,100.4,Turista,Promo
7509,BARCELONA,MADRID,AVE,100.4,Turista,Promo
7510,BARCELONA,MADRID,AVE,102.15,Turista Plus,Promo
7511,BARCELONA,MADRID,AVE,100.4,Turista,Promo
7513,BARCELONA,MADRID,AVE,85.1,Turista,Promo
7514,BARCELONA,MADRID,AVE,107.7,Turista,Flexible
8390,VALENCIA,MADRID,AVE,39.45,Turista,Promo
8392,VALENCIA,MADRID,AVE,51.15,Turista,Promo
8393,VALENCIA,MADRID,AVE,51.15,Turista,Promo
8394,VALENCIA,MADRID,AVE,45.3,Turista,Promo
8397,VALENCIA,MADRID,AVE,45.3,Turista,Promo
8398,VALENCIA,MADRID,AVE,57.75,Turista,Promo
8402,VALENCIA,MADRID,AVE,57.75,Turista,Promo
8403,VALENCIA,MADRID,AVE,57.75,Turista,Promo
8404,VALENCIA,MADRID,AVE,57.75,Turista,Promo
8405,VALENCIA,MADRID,AVE,51.15,Turista,Promo
8410,VALENCIA,MADRID,AVE,39.45,Turista,Promo
8411,VALENCIA,MADRID,AVE,39.45,Turista,Promo
8412,VALENCIA,MADRID,AVE,45.3,Turista,Promo
8413,VALENCIA,MADRID,AVE,33.65,Turista,Promo
8415,VALENCIA,MADRID,AVE,33.65,Turista,Promo
8416,VALENCIA,MADRID,AVE,21.95,Turista,Promo
8417,VALENCIA,MADRID,AVE,27.8,Turista,Promo
9145,SEVILLA,MADRID,AV City,58.95,Turista Plus,Promo
9148,SEVILLA,MADRID,ALVIA,,Turista,Flexible
9149,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
9150,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
9153,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
9154,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
9155,SEVILLA,MADRID,ALVIA,,Turista,Flexible
9156,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
9160,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
9161,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
9163,SEVILLA,MADRID,AVE,64.05,Turista Plus,Promo
9164,SEVILLA,MADRID,AVE,72.3,Turista Plus,Promo
9165,SEVILLA,MADRID,ALVIA,,Turista,Flexible
9166,SEVILLA,MADRID,AV City,62.2,Turista,Flexible
9167,SEVILLA,MADRID,AV City,58.95,Turista Plus,Promo
9168,SEVILLA,MADRID,AVE,47.3,Turista,Promo
9171,SEVILLA,MADRID,AVE,76.3,Turista,Flexible
9174,SEVILLA,MADRID,AVE,47.3,Turista,Promo
9175,SEVILLA,MADRID,ALVIA,,Turista,Promo
9176,SEVILLA,MADRID,AVE,47.3,Turista,Promo
9177,SEVILLA,MADRID,ALVIA,47.05,Turista,Promo
9178,SEVILLA,MADRID,AVE,53.4,Turista,Promo
9179,SEVILLA,MADRID,AVE,53.4,Turista,Promo
9180,SEVILLA,MADRID,AVE,60.3,Turista,Promo
9182,SEVILLA,MADRID,AVE,47.3,Turista,Promo
9183,SEVILLA,MADRID,AV City,52.2,Turista Plus,Promo
10002,MADRID,SEVILLA,AV City,49.15,Turista,Promo
10005,MADRID,SEVILLA,AVE,76.3,Turista,Flexible
10019,MADRID,SEVILLA,AVE,64.05,Turista Plus,Promo
10020,MADRID,SEVILLA,AVE,64.05,Turista Plus,Promo
10021,MADRID,SEVILLA,AV City,52.2,Turista Plus,Promo
10022,MADRID,SEVILLA,AV City,58.95,Turista Plus,Promo
10023,MADRID,SEVILLA,AVE,47.3,Turista,Promo
10025,MADRID,SEVILLA,AVE,53.4,Turista,Promo
10027,MADRID,SEVILLA,AVE,53.4,Turista,Promo
10029,MADRID,SEVILLA,ALVIA,,Turista,Flexible
10030,MADRID,SEVILLA,AVE,76.3,Turista,Flexible
10034,MADRID,SEVILLA,AVE,47.3,Turista,Promo
10035,MADRID,SEVILLA,AVE,47.3,Turista,Promo
10036,MADRID,SEVILLA,AVE,47.3,Turista,Promo
10037,MADRID,SEVILLA,AVE,47.3,Turista,Promo
10038,MADRID,SEVILLA,AV City,52.2,Turista Plus,Promo
10923,MADRID,BARCELONA,AVE,66.75,Turista,Promo
10924,MADRID,BARCELONA,AVE,66.75,Turista,Promo
10925,MADRID,BARCELONA,AVE,85.1,Turista,Promo
10926,MADRID,BARCELONA,AVE,85.1,Turista,Promo
10927,MADRID,BARCELONA,AVE,85.1,Turista,Promo
10928,MADRID,BARCELONA,AVE,107.7,Turista,Flexible
10929,MADRID,BARCELONA,AVE,102.15,Turista Plus,Promo
10931,MADRID,BARCELONA,AVE,88.95,Turista,Promo
10932,MADRID,BARCELONA,AVE,90.5,Turista Plus,Promo
10933,MADRID,BARCELONA,AVE,90.5,Turista Plus,Promo
10934,MADRID,BARCELONA,AVE,88.95,Turista,Promo
10936,MADRID,BARCELONA,AVE,88.95,Turista,Promo
